Nicks,Points_1,Points_2,Total Points
1,eusouolucas,650,385,1035
2,Detetive AIine,0,715,715
3,BES ego illusion,500,110,610
4,Sh0W,0,605,605
5,vclf,550,55,605
6,TFx D KLEIN,0,550,550
7,Faret,0,495,495
8,Slooper,450,0,450
9,EMS Zanaron,350,55,405
10,KDA Nefalla,0,330,330
11,TFT Andreeker,300,0,300
12,LeS Allanzim,0,275,275
13,BES DobZ,200,55,255
14,TFx Rasta,250,0,250
15,inc mplete,0,220,220
16,AI CE TOMA,50,110,160
17,directorayres,50,110,160
18,TFx Creitu,100,55,155
19,Caju vc prometeu,0,110,110
20,BES Patr0ci,0,110,110
21,BES vipi,0,110,110
22,JosneyQT,0,110,110
23,BEE Barry,0,110,110
24,Mathze,100,0,100
25,LeS Jhin,100,0,100
26,CoolGuy0,100,0,100
27,d00pE,100,0,100
28,proenca z1k4,100,0,100
29,DarkMagician,100,0,100
30,Rblacks,100,0,100
31,Lord Rollo,0,55,55
32,gabsreal,0,55,55
33,INTZ Ian,0,55,55
34,BEE itachi,0,55,55
35,xandeeea,0,55,55
36,MENTE ÏNSANA,0,55,55
37,Vulpi,0,55,55
38,gune1,0,55,55
39,LeS Neuro,0,55,55
40,LeS livinda,0,55,55
41,BES Toddy,0,55,55
42,FOUR Dairon,0,55,55
43,Guiczar,50,0,50
44,MAIN ZeCksS,50,0,50
45,Loredonix,50,0,50
46,Tjjuninho,50,0,50
47,gabymar10,50,0,50
48,Pequeno Golfo,50,0,50
49,LeviGV,50,0,50
50,Wuuju,50,0,50
51,EMS Leon,50,0,50
52,BEE Soft,50,0,50
53,Sora,50,0,50
54,zViic,50,0,50
55,Serask,50,0,50
56,EMS NiihiI,50,0,50
