Nick,League Points,Cycle 1,Sum of snapshot points,Daily Matches
KDA Kaos,1946,100,100,474
BES ego illusion,1443,90,90,342
Shirazu,1346,80,80,275
Orono Noguchi,1339,70,70,257
BES Midor1ya,1321,60,60,455
d00pE,1316,55,55,305
Eunucão,1278,50,50,386
Math108,1273,45,45,239
Flangonator,1209,35,35,528
 vclf,1208,35,35,207
Gune,1152,35,35,753
EMS NiihiI,1118,35,35,769
Sh1razu,1096,35,35,219
DETETIVE ALINE,1089,35,35,256
FOUR Dianbizir,1062,35,35,337
Miguel Arkjow,993,35,35,254
Levi,985,35,35,512
BES DobZ,983,35,35,204
G2 Anklam,946,35,35,243
eusouolucas,945,35,35,226
TFx Creitu,941,35,35,325
HR felipeeanjos,915,35,35,247
Slooper,896,35,35,189
Krowck,859,35,35,400
PepeChill ,859,25,25,443
Koala Esbelto,846,25,25,212
BES vipi,824,35,35,489
Durkzera,814,25,25,299
Main Jhin Buuu,814,25,25,315
FOUR Dairon,811,25,25,221
Irmão Koda,796,25,25,211
Caju vc prometeu,779,25,25,240
BES Toddy,756,25,25,236
inc mplete,751,25,25,410
PedroBanana,740,25,25,476
Ciulla,709,25,25,303
Pikáchú,707,25,25,282
zViic,677,25,25,483
Nefalla,674,25,25,270
BEE Soft,670,25,25,205
FOUR BieuL,640,25,25,214
BES Patr0ci,638,25,25,432
LeS Neuro,636,25,25,218
Sh0W,629,25,25,161
Tjjuninho,628,25,25,271
Haxwei,625,25,25,126
KDA Constantine ,617,25,25,458
Eddie Jr,613,25,25,224
Endeev,611,25,25,694
Cool Guy0,611,25,25,200
Gott ll,611,15,15,263
KDA wenked,610,15,15,361
Freez,607,15,15,297
gabsreal,603,15,15,182
JosneyQT,595,15,15,285
l Akeshi l,557,15,15,385
KDA Sukesvs,550,15,15,355
NFU Joel,543,15,15,308
Isonomy,537,15,15,144
Rafael Araújo,535,15,15,318
Aragatheus,533,15,15,276
Son Hye Jo0,519,15,15,137
Davvi AC,506,15,15,200
Barrymain,504,15,15,308
Anlonio,494,15,15,196
BD Wed,493,15,15,409
andre nf,490,15,15,363
Tsuuzaki,490,15,15,246
TiySatomie,487,15,15,246
Shh0W,480,15,15,155
Ieko,471,15,15,227
VlOLE,470,15,15,98
NiNooce,463,15,15,207
TFx Goiabeira,455,15,15,178
DarkMagician,452,15,15,245
Guiczar,440,15,15,301
Kenji1 TFT,433,15,15,223
LeuzZoka,431,15,15,136
kamikzz,430,15,15,215
musica p drift,428,15,15,159
ALEEjadinho,424,15,15,147
proenca z1k4,423,15,15,180
AmorSorrisoFlor,422,15,15,233
Twitch Phelpz13,421,15,15,321
BEE Erith,420,15,15,286
Viciado em Café,417,15,15,341
NFU Pazzini,416,15,15,412
TFx Sepeda,415,15,15,198
BEE itachi,413,15,15,137
Make Them Suffer,403,15,15,194
Gran Jie,401,15,15,326
Kleike,401,15,15,289
A C O R D A R,400,15,15,119
RD Bhaltamos,399,15,15,145
IuIiz,399,15,15,163
Tamizo,395,15,15,231
Summer578,384,15,15,128
quavolino,379,15,15,370
hopperion,376,15,15,215
Mallenda,373,15,15,268
SunTous,372,5,5,201
favriel1,365,5,5,213
MegaJonga,360,5,5,307
MrCarvalho,359,5,5,284
Nefalla TFT,359,5,5,282
XadrezdePobre,353,5,5,94
Puke and Cry,350,5,5,335
blanka21,349,5,5,271
Zehluk TFT,346,5,5,173
Carneiro Gamer,345,5,5,202
Arckie,340,5,5,195
Soníc,339,5,5,221
dedinho do lula,338,5,5,181
Yuzuki Choco,332,5,5,62
Gabymar10,328,5,5,283
Viciado,327,5,5,120
GeloXimira,326,5,5,227
find cost five ,322,5,5,243
MAIN ZeCksS,318,5,5,479
PauIa Vadinho,317,5,5,258
NPC,315,5,5,299
SLZ LucLuc,315,5,5,199
DeBitous,314,5,5,143
PHonda,313,5,5,113
Invidious,309,5,5,383
BES Narkesh,308,5,5,223
Chawa,306,5,5,209
HESOYAM1,303,5,5,108
O z   H,303,5,5,144
MaaTzin,302,5,5,281
xXSTORM BREAKER,299,5,5,366
Pàla,296,5,5,170
AKA Golfinho,294,5,5,84
Coteyo,291,5,5,281
KKKKaue,291,5,5,207
gzO,290,5,5,205
Baskarazz,290,5,5,368
Bargaz,288,5,5,206
random kdramaer ,288,5,5,106
SLZ Thayná,287,5,5,106
LeS Allanzim,286,5,5,285
gainetera,285,5,5,151
chaparaulius,285,5,5,286
Joe Fury,284,5,5,236
Botrytao,283,5,5,240
MARX ERA ANCAP,283,5,5,286
Rendras,283,5,5,115
Yasz,281,5,5,358
ATZX,281,5,5,221
tremor123,279,5,5,166
