,Nick,Cycle 1,Cycle 2,Cycle 3,Total games in snap,Sum of snapshot points,Daily Games
0,BES ego illusion,90,70,109,0,269,394.0
1,Slooper,35,80,121,0,236,296.0
2,Orono Noguchi,70,50,97,0,217,362.0
3, vclf,35,90,73,0,198,368.0
4,KDA Kaos,100,45,43,0,188,633.0
5,EMS NiihiI,35,100,43,0,178,1106.0
6,zzhcet,25,60,85,0,170,391.0
7,Shirazu,80,35,43,0,158,397.0
8,d00pE,55,55,43,0,153,464.0
9,BES Midor1ya,60,35,43,0,138,606.0
10,BES DobZ,35,35,60,0,130,278.0
11,Eunucão,50,35,43,0,128,651.0
12,BES Toddy,25,35,66,0,126,394.0
13,DETETIVE ALINE,35,35,54,0,124,322.0
14,Math108,45,35,43,0,123,296.0
15,Miguel Arkjow,35,35,43,0,113,434.0
16,Sh1razu,35,35,43,0,113,394.0
17,eusouolucas,35,35,43,0,113,344.0
18,Ciulla,25,35,43,0,103,607.0
19,FOUR Dianbizir,35,25,43,0,103,417.0
20,PepeChill ,25,35,43,0,103,637.0
21,TFx Creitu,35,35,31,0,101,412.0
22,inc mplete,25,25,43,0,93,616.0
23,Levi,35,25,31,0,91,687.0
24,BES vipi,35,25,31,0,91,711.0
25,Koala Esbelto,25,35,31,0,91,333.0
26,HR felipeeanjos,35,25,31,0,91,340.0
27,Durkzera,25,35,31,0,91,433.0
28,Gune,35,35,19,0,89,1001.0
29,LeS Neuro,25,15,43,0,83,352.0
30,BEE itachi,15,25,43,0,83,224.0
31,Haxwei,25,25,31,0,81,175.0
32,Endeev,25,25,31,0,81,935.0
33,FOUR BieuL,25,25,31,0,81,298.0
34,FOUR Dairon,25,25,31,0,81,287.0
35,Pikáchú,25,25,31,0,81,376.0
36,G2 Anklam,35,35,7,0,77,
37,gabsreal,15,25,31,0,71,290.0
38,JosneyQT,15,25,31,0,71,413.0
39,BEE Soft,25,15,31,0,71,317.0
40,Tsuuzaki,15,25,31,0,71,378.0
41,Sh0W,25,15,31,0,71,233.0
42,Kleike,15,25,31,0,71,438.0
43,Make Them Suffer,15,25,31,0,71,272.0
44,Irmão Koda,25,15,31,0,71,285.0
45,BES Patr0ci,25,15,31,0,71,686.0
46,Krowck,35,15,19,0,69,608.0
47,Flangonator,35,15,19,0,69,671.0
48,PedroBanana,25,25,19,0,69,713.0
49,Eddie Jr,25,25,19,0,69,403.0
50,zViic,25,25,19,0,69,576.0
51,LeS Jhin,0,25,43,0,68,494.0
52,Mallenda,15,15,31,0,61,486.0
53,KDA wenked,15,25,19,0,59,528.0
54,Tjjuninho,25,15,19,0,59,324.0
55,KDA Constantine ,25,15,19,0,59,522.0
56,KDA Sukesvs,15,25,19,0,59,408.0
57,ALEEjadinho,15,25,19,0,59,205.0
58,KDA Nefalla,0,25,31,0,56,319.0
59,Nefalla TFT,5,15,31,0,51,360.0
60,Twitch Phelpz13,15,5,31,0,51,448.0
61,A C O R D A R,15,15,19,0,49,139.0
62,BEE Erith,15,15,19,0,49,398.0
63,Shh0W,15,15,19,0,49,210.0
64,TFx Goiabeira,15,15,19,0,49,254.0
65,Kenji1 TFT,15,15,19,0,49,341.0
66,quavolino,15,15,19,0,49,575.0
67,Guiczar,15,15,19,0,49,506.0
68,BD Wed,15,15,19,0,49,831.0
69,Rafael Araújo,15,15,19,0,49,410.0
70,Cool Guy0,25,15,7,0,47,
71,RafaStark,0,25,19,0,44,227.0
72,Zehluk TFT,5,15,19,0,39,348.0
73,Gabymar10,5,15,19,0,39,463.0
74,Freez,15,5,19,0,39,446.0
75,Ieko,15,5,19,0,39,317.0
76,Carneiro Gamer,5,15,19,0,39,
77,musica p drift,15,5,19,0,39,238.0
78,hopperion,15,5,19,0,39,
79,Arckie,5,15,19,0,39,293.0
80,Soníc,5,15,19,0,39,300.0
81,Viciado em Café,15,15,7,0,37,
82,Son Hye Jo0,15,15,7,0,37,
83,Summer578,15,15,7,0,37,
84,Isonomy,15,15,7,0,37,
85,AI CE TOMA,0,5,31,0,36,265.0
86,NessHS,0,15,19,0,34,
87,Suwuplente,0,15,19,0,34,224.0
88,nojiris,0,15,19,0,34,360.0
89,KaveGod,0,15,19,0,34,261.0
90,Renato o Delgado,0,15,19,0,34,519.0
91,Dont row down,0,15,19,0,34,259.0
92,Carinha de Raiva,0,15,19,0,34,347.0
93,Yvissaur,0,15,19,0,34,246.0
94,SLZ Thayná,5,5,19,0,29,127.0
95,Rendras,5,5,19,0,29,201.0
96,Puke and Cry,5,5,19,0,29,545.0
97,LeS Allanzim,5,5,19,0,29,391.0
98,Davvi AC,15,5,7,0,27,
99,MaaTzin,5,15,7,0,27,
100,MegaJonga,5,15,7,0,27,
101,Aragatheus,15,5,7,0,27,
102,Yuzuki Choco,5,15,7,0,27,
103,Barrymain,15,5,7,0,27,
104,kamikzz,15,5,7,0,27,
105,PLaaT,0,5,19,0,24,241.0
106,DOG Ryok,0,5,19,0,24,172.0
107,masaya,0,5,19,0,24,191.0
108,Miti,0,5,19,0,24,
109,Melkor Nightmare,0,5,19,0,24,468.0
110,Gzaga,0,5,19,0,24,333.0
111,Drugsky0811,0,5,19,0,24,246.0
112,MittCrowen,0,5,19,0,24,360.0
113,zaai,0,15,7,0,22,
114,xiao dian dian k,0,15,7,0,22,
115,Pri Kitta,0,15,7,0,22,
116,Worfete,0,15,7,0,22,
117,Borriss,0,15,7,0,22,
118,Bom em nada Igor,0,15,7,0,22,
119,Q Flash,0,15,7,0,22,
120,me vê 4 pães,0,15,7,0,22,
121,directorayres,0,15,7,0,22,
122,SLZ LucLuc,5,5,7,0,17,
123,find cost five ,5,5,7,0,17,367.0
124,PHonda,5,5,7,0,17,
125,Chawa,5,5,7,0,17,
126,Pàla,5,5,7,0,17,
127,Novoselic,0,5,7,0,12,
128,me vê 7 pães,0,5,7,0,12,
129,ddu,0,5,7,0,12,
130,Vulpi,0,5,7,0,12,
131,Ueckar,0,5,7,0,12,
132,EVA Asuka Soryu,0,5,7,0,12,
133,Leo3l,0,5,7,0,12,
134,Control DeviI,0,5,7,0,12,
135,BizoIa,0,5,7,0,12,315.0
136,GSCFLN,0,5,7,0,12,
137,garridoo,0,5,7,0,12,
138,Akali Preguiçosa,0,5,7,0,12,
139,JackPoste,0,5,7,0,12,
140,Roça Blacks,0,5,7,0,12,
141,Kyran,0,5,7,0,12,
142,xFlashy Flash,0,5,7,0,12,
143,JPLME10,0,5,7,0,12,
144,CRIMINOUSER,0,5,7,0,12,
145,Shinja,0,5,7,0,12,
146,Hikaru s,0,5,7,0,12,
147,ThiaGoku,0,5,7,0,12,
148,Lyawr,0,5,7,0,12,
149,Capuccini,0,5,7,0,12,
